dim,n_nodes,latency_ns_median
128,1,469
128,2,817
128,4,1462
128,8,2675
128,16,4933
128,32,8981
512,1,1520
512,2,2941
512,4,5548
512,8,11001
512,16,21342
512,32,41397
2048,1,5717
2048,2,11209
2048,4,22471
2048,8,44310
2048,16,86895
2048,32,170581
