suite,scenario,qid,expansion_id,dim,n_tb1_nodes,distance_ns
range_search,1pct_e2,0,0,512,8,1895
range_search,1pct_e2,0,1,512,10,2282
range_search,1pct_e2,0,2,512,1,193
range_search,1pct_e2,0,6,512,4,854
range_search,1pct_e2,0,32,512,10,2130
range_search,1pct_e2,1,0,512,3,816
range_search,1pct_e2,1,1,512,2,414
range_search,1pct_e2,1,2,512,3,506
range_search,1pct_e2,1,3,512,11,1971
range_search,1pct_e2,1,4,512,4,697
range_search,1pct_e2,1,8,512,3,652
range_search,1pct_e2,1,17,512,3,706
range_search,1pct_e2,1,21,512,1,141
range_search,1pct_e2,1,108,512,2,593
range_search,1pct_e2,2,0,512,6,880
range_search,1pct_e2,2,1,512,5,973
range_search,1pct_e2,2,2,512,17,2225
range_search,1pct_e2,2,3,512,4,678
range_search,1pct_e2,2,5,512,9,1418
range_search,1pct_e2,2,26,512,4,793
range_search,1pct_e2,2,105,512,5,996
range_search,1pct_e2,3,0,512,2,384
range_search,1pct_e2,3,1,512,1,240
range_search,1pct_e2,3,2,512,8,893
range_search,1pct_e2,3,4,512,8,1175
range_search,1pct_e2,3,5,512,10,1433
range_search,1pct_e2,3,7,512,1,403
range_search,1pct_e2,3,11,512,3,515
range_search,1pct_e2,3,38,512,8,1212
range_search,1pct_e2,4,0,512,3,519
range_search,1pct_e2,4,1,512,7,969
range_search,1pct_e2,4,2,512,11,1370
range_search,1pct_e2,4,3,512,4,629
range_search,1pct_e2,4,4,512,6,811
range_search,1pct_e2,4,8,512,3,463
range_search,1pct_e2,4,10,512,19,2197
range_search,1pct_e2,4,16,512,9,1126
range_search,1pct_e2,5,0,512,6,749
range_search,1pct_e2,5,1,512,10,1069
range_search,1pct_e2,5,2,512,3,542
range_search,1pct_e2,5,3,512,6,797
range_search,1pct_e2,5,4,512,2,303
range_search,1pct_e2,5,5,512,21,2547
range_search,1pct_e2,5,6,512,14,1677
range_search,1pct_e2,5,12,512,4,579
range_search,1pct_e2,5,15,512,11,1374
range_search,1pct_e2,5,44,512,1,174
range_search,1pct_e2,6,0,512,6,1178
range_search,1pct_e2,6,1,512,5,810
range_search,1pct_e2,6,3,512,7,826
range_search,1pct_e2,6,4,512,3,766
range_search,1pct_e2,6,5,512,3,843
range_search,1pct_e2,6,6,512,1,291
range_search,1pct_e2,6,12,512,5,522
range_search,1pct_e2,6,18,512,2,250
range_search,1pct_e2,7,0,512,14,1995
range_search,1pct_e2,7,1,512,4,893
range_search,1pct_e2,7,2,512,19,2208
range_search,1pct_e2,7,3,512,31,3331
range_search,1pct_e2,7,4,512,18,2048
range_search,1pct_e2,7,6,512,8,915
range_search,1pct_e2,7,9,512,16,1724
range_search,1pct_e2,7,115,512,2,285
range_search,1pct_e2,8,0,512,5,639
range_search,1pct_e2,8,1,512,49,5409
range_search,1pct_e2,8,2,512,5,614
range_search,1pct_e2,8,3,512,10,1137
range_search,1pct_e2,8,5,512,4,559
range_search,1pct_e2,8,10,512,6,683
range_search,1pct_e2,8,22,512,1,199
range_search,1pct_e2,9,0,512,6,822
range_search,1pct_e2,9,1,512,4,586
range_search,1pct_e2,9,2,512,8,994
range_search,1pct_e2,9,4,512,18,1977
range_search,1pct_e2,9,5,512,4,545
range_search,1pct_e2,9,14,512,7,812
range_search,1pct_e2,9,20,512,21,2543
range_search,1pct_e2,9,63,512,7,1023
range_search,1pct_e2,10,0,512,3,648
range_search,1pct_e2,10,2,512,10,1702
range_search,1pct_e2,10,3,512,6,785
range_search,1pct_e2,10,4,512,3,601
range_search,1pct_e2,10,6,512,2,416
range_search,1pct_e2,10,11,512,3,441
range_search,1pct_e2,10,13,512,1,366
range_search,1pct_e2,10,19,512,2,327
range_search,1pct_e2,10,111,512,1,137
range_search,1pct_e2,11,0,512,4,626
range_search,1pct_e2,11,1,512,6,893
range_search,1pct_e2,11,2,512,3,466
range_search,1pct_e2,11,3,512,4,565
range_search,1pct_e2,11,4,512,4,594
range_search,1pct_e2,11,5,512,13,1605
range_search,1pct_e2,11,6,512,7,945
range_search,1pct_e2,11,7,512,4,578
range_search,1pct_e2,11,8,512,2,354
range_search,1pct_e2,11,15,512,8,888
range_search,1pct_e2,11,16,512,2,348
range_search,1pct_e2,11,30,512,2,487
range_search,1pct_e2,12,0,512,4,609
range_search,1pct_e2,12,1,512,4,581
range_search,1pct_e2,12,2,512,7,919
range_search,1pct_e2,12,3,512,8,1130
range_search,1pct_e2,12,25,512,2,281
range_search,1pct_e2,12,41,512,4,496
range_search,1pct_e2,12,94,512,7,897
range_search,1pct_e2,13,0,512,3,459
range_search,1pct_e2,13,1,512,2,367
range_search,1pct_e2,13,2,512,3,486
range_search,1pct_e2,13,3,512,3,441
range_search,1pct_e2,13,4,512,10,1175
range_search,1pct_e2,13,20,512,4,756
range_search,1pct_e2,13,21,512,1,252
range_search,1pct_e2,14,0,512,4,614
range_search,1pct_e2,14,1,512,11,1436
range_search,1pct_e2,14,3,512,3,398
range_search,1pct_e2,14,4,512,23,2458
range_search,1pct_e2,14,5,512,23,2511
range_search,1pct_e2,14,7,512,10,1110
range_search,1pct_e2,14,9,512,11,1187
range_search,1pct_e2,14,11,512,12,1526
range_search,1pct_e2,14,13,512,2,266
range_search,1pct_e2,14,62,512,7,811
range_search,1pct_e2,15,0,512,2,382
range_search,1pct_e2,15,1,512,2,354
range_search,1pct_e2,15,2,512,3,503
range_search,1pct_e2,15,3,512,3,493
range_search,1pct_e2,15,5,512,3,401
range_search,1pct_e2,15,20,512,6,659
range_search,1pct_e2,15,149,512,3,477
range_search,1pct_e2,16,0,512,4,757
range_search,1pct_e2,16,1,512,5,690
range_search,1pct_e2,16,2,512,4,726
range_search,1pct_e2,16,3,512,8,1021
range_search,1pct_e2,16,4,512,3,432
range_search,1pct_e2,16,21,512,3,332
range_search,1pct_e2,16,29,512,2,525
range_search,1pct_e2,17,0,512,5,694
range_search,1pct_e2,17,2,512,22,2427
range_search,1pct_e2,17,3,512,9,1113
range_search,1pct_e2,17,5,512,20,1974
range_search,1pct_e2,17,6,512,20,2250
range_search,1pct_e2,18,0,512,1,308
