suite,scenario,qid,expansion_id,dim,n_tb1_nodes,distance_ns
multiple_exact_match,1pct_e1,0,0,2048,2,1552
multiple_exact_match,1pct_e1,0,1,2048,2,1627
multiple_exact_match,1pct_e1,0,4,2048,37,25513
multiple_exact_match,1pct_e1,1,0,2048,8,4917
multiple_exact_match,1pct_e1,2,0,2048,5,3675
multiple_exact_match,1pct_e1,2,8,2048,3,2002
multiple_exact_match,1pct_e1,2,13,2048,2,1175
multiple_exact_match,1pct_e1,3,0,2048,6,4460
multiple_exact_match,1pct_e1,3,1,2048,4,2995
multiple_exact_match,1pct_e1,3,13,2048,4,2272
multiple_exact_match,1pct_e1,4,0,2048,4,2369
multiple_exact_match,1pct_e1,4,75,2048,1,628
multiple_exact_match,1pct_e1,5,0,2048,3,2388
multiple_exact_match,1pct_e1,5,6,2048,14,9456
multiple_exact_match,1pct_e1,5,34,2048,16,11282
multiple_exact_match,1pct_e1,6,0,2048,5,2854
multiple_exact_match,1pct_e1,6,2,2048,3,1847
multiple_exact_match,1pct_e1,7,0,2048,4,2872
multiple_exact_match,1pct_e1,7,5,2048,2,1260
multiple_exact_match,1pct_e1,7,18,2048,9,6284
multiple_exact_match,1pct_e1,8,0,2048,10,6168
multiple_exact_match,1pct_e1,9,0,2048,4,2229
multiple_exact_match,1pct_e1,9,1,2048,5,2403
multiple_exact_match,1pct_e1,9,34,2048,2,1362
multiple_exact_match,1pct_e1,10,0,2048,26,18277
multiple_exact_match,1pct_e1,11,0,2048,5,3067
multiple_exact_match,1pct_e1,11,4,2048,4,2175
multiple_exact_match,1pct_e1,11,5,2048,4,2913
multiple_exact_match,1pct_e1,11,6,2048,2,1730
multiple_exact_match,1pct_e1,12,0,2048,2,1298
multiple_exact_match,1pct_e1,12,2,2048,5,2572
multiple_exact_match,1pct_e1,12,3,2048,4,2610
multiple_exact_match,1pct_e1,12,4,2048,18,10602
multiple_exact_match,1pct_e1,13,0,2048,5,3173
multiple_exact_match,1pct_e1,13,3,2048,3,1882
multiple_exact_match,1pct_e1,13,7,2048,7,4325
multiple_exact_match,1pct_e1,14,0,2048,7,3072
multiple_exact_match,1pct_e1,14,2,2048,9,3852
multiple_exact_match,1pct_e1,14,7,2048,1,498
multiple_exact_match,1pct_e1,14,16,2048,1,497
multiple_exact_match,1pct_e1,15,0,2048,6,2361
multiple_exact_match,1pct_e1,15,5,2048,6,5085
multiple_exact_match,1pct_e1,15,46,2048,8,4094
multiple_exact_match,1pct_e1,16,0,2048,3,2377
multiple_exact_match,1pct_e1,16,1,2048,2,1440
multiple_exact_match,1pct_e1,16,5,2048,3,1830
multiple_exact_match,1pct_e1,16,9,2048,2,1503
multiple_exact_match,1pct_e1,17,0,2048,4,2663
multiple_exact_match,1pct_e1,17,4,2048,14,7672
multiple_exact_match,1pct_e1,17,9,2048,1,578
multiple_exact_match,1pct_e1,18,0,2048,4,2690
multiple_exact_match,1pct_e1,18,10,2048,4,1889
multiple_exact_match,1pct_e1,18,91,2048,3,1648
multiple_exact_match,1pct_e1,19,0,2048,4,1772
multiple_exact_match,1pct_e1,19,4,2048,6,2599
multiple_exact_match,1pct_e1,19,99,2048,1,651
multiple_exact_match,1pct_e1,20,0,2048,2,930
multiple_exact_match,1pct_e1,20,1,2048,3,1330
multiple_exact_match,1pct_e1,20,11,2048,3,1260
