suite,scenario,qid,expansion_id,dim,n_tb1_nodes,distance_ns
range_search,1pct_e8,0,0,512,8,1661
range_search,1pct_e8,0,1,512,10,2167
range_search,1pct_e8,0,2,512,1,230
range_search,1pct_e8,0,6,512,4,990
range_search,1pct_e8,0,32,512,10,2044
range_search,1pct_e8,1,0,512,3,833
range_search,1pct_e8,1,1,512,2,524
range_search,1pct_e8,1,2,512,3,492
range_search,1pct_e8,1,3,512,11,2232
range_search,1pct_e8,1,4,512,4,691
range_search,1pct_e8,1,8,512,3,430
range_search,1pct_e8,1,17,512,3,658
range_search,1pct_e8,1,21,512,1,128
range_search,1pct_e8,1,108,512,2,609
range_search,1pct_e8,2,0,512,6,758
range_search,1pct_e8,2,1,512,5,1036
range_search,1pct_e8,2,2,512,17,2451
range_search,1pct_e8,2,3,512,4,615
range_search,1pct_e8,2,5,512,9,1581
range_search,1pct_e8,2,26,512,4,809
range_search,1pct_e8,2,105,512,5,1221
range_search,1pct_e8,3,0,512,2,385
range_search,1pct_e8,3,1,512,1,222
range_search,1pct_e8,3,2,512,8,1056
range_search,1pct_e8,3,4,512,8,1054
range_search,1pct_e8,3,5,512,10,1428
range_search,1pct_e8,3,7,512,1,370
range_search,1pct_e8,3,11,512,3,600
range_search,1pct_e8,3,38,512,8,1103
range_search,1pct_e8,4,0,512,3,424
range_search,1pct_e8,4,1,512,7,869
range_search,1pct_e8,4,2,512,11,1537
range_search,1pct_e8,4,3,512,4,659
range_search,1pct_e8,4,4,512,6,742
range_search,1pct_e8,4,8,512,3,397
range_search,1pct_e8,4,10,512,19,2103
range_search,1pct_e8,4,16,512,9,985
range_search,1pct_e8,5,0,512,6,861
range_search,1pct_e8,5,1,512,10,1226
range_search,1pct_e8,5,2,512,3,487
range_search,1pct_e8,5,3,512,6,791
range_search,1pct_e8,5,4,512,2,344
range_search,1pct_e8,5,5,512,21,2396
range_search,1pct_e8,5,6,512,14,1526
range_search,1pct_e8,5,12,512,4,518
range_search,1pct_e8,5,15,512,11,1274
range_search,1pct_e8,5,44,512,1,217
range_search,1pct_e8,6,0,512,6,946
range_search,1pct_e8,6,1,512,5,743
range_search,1pct_e8,6,3,512,7,875
range_search,1pct_e8,6,4,512,3,778
range_search,1pct_e8,6,5,512,3,766
range_search,1pct_e8,6,6,512,1,388
range_search,1pct_e8,6,12,512,5,554
range_search,1pct_e8,6,18,512,2,241
range_search,1pct_e8,7,0,512,14,1858
range_search,1pct_e8,7,1,512,4,974
range_search,1pct_e8,7,2,512,19,2211
range_search,1pct_e8,7,3,512,31,3378
range_search,1pct_e8,7,4,512,18,2046
range_search,1pct_e8,7,6,512,8,920
