suite,scenario,qid,expansion_id,dim,n_tb1_nodes,distance_ns
exact_match,10pct_e8,0,0,128,4,296
exact_match,10pct_e8,0,1,128,6,271
exact_match,10pct_e8,0,9,128,4,191
exact_match,10pct_e8,0,12,128,8,356
exact_match,10pct_e8,0,15,128,10,474
exact_match,10pct_e8,0,16,128,9,314
exact_match,10pct_e8,0,18,128,6,285
exact_match,10pct_e8,0,20,128,4,261
exact_match,10pct_e8,0,32,128,5,261
exact_match,10pct_e8,0,34,128,4,335
exact_match,10pct_e8,0,40,128,6,310
exact_match,10pct_e8,0,48,128,4,202
exact_match,10pct_e8,0,70,128,2,134
exact_match,10pct_e8,0,72,128,6,263
exact_match,10pct_e8,0,87,128,2,137
exact_match,10pct_e8,0,89,128,2,122
exact_match,10pct_e8,0,101,128,5,230
exact_match,10pct_e8,0,113,128,4,223
exact_match,10pct_e8,0,155,128,5,224
exact_match,10pct_e8,0,171,128,3,343
exact_match,10pct_e8,0,229,128,2,133
exact_match,10pct_e8,0,247,128,6,249
exact_match,10pct_e8,0,262,128,1,108
exact_match,10pct_e8,0,403,128,2,113
exact_match,10pct_e8,1,0,128,6,588
exact_match,10pct_e8,1,1,128,4,680
exact_match,10pct_e8,1,5,128,8,646
exact_match,10pct_e8,1,7,128,7,721
exact_match,10pct_e8,1,12,128,5,448
exact_match,10pct_e8,1,13,128,7,734
exact_match,10pct_e8,1,17,128,2,262
exact_match,10pct_e8,1,21,128,6,475
exact_match,10pct_e8,1,24,128,7,551
exact_match,10pct_e8,1,31,128,13,928
exact_match,10pct_e8,1,33,128,5,521
exact_match,10pct_e8,1,50,128,5,465
exact_match,10pct_e8,1,65,128,5,547
exact_match,10pct_e8,1,66,128,5,481
exact_match,10pct_e8,1,67,128,8,686
exact_match,10pct_e8,1,76,128,7,607
exact_match,10pct_e8,1,77,128,4,397
exact_match,10pct_e8,1,104,128,3,400
exact_match,10pct_e8,1,111,128,7,459
exact_match,10pct_e8,1,128,128,7,449
exact_match,10pct_e8,1,174,128,2,283
exact_match,10pct_e8,1,175,128,5,516
exact_match,10pct_e8,1,184,128,5,596
exact_match,10pct_e8,1,205,128,7,707
exact_match,10pct_e8,1,289,128,2,239
exact_match,10pct_e8,1,479,128,12,1250
exact_match,10pct_e8,2,0,128,3,349
exact_match,10pct_e8,2,1,128,6,487
exact_match,10pct_e8,2,2,128,3,379
exact_match,10pct_e8,2,3,128,6,624
exact_match,10pct_e8,2,6,128,5,579
exact_match,10pct_e8,2,8,128,4,401
exact_match,10pct_e8,2,13,128,3,243
exact_match,10pct_e8,2,17,128,5,517
exact_match,10pct_e8,2,23,128,3,311
exact_match,10pct_e8,2,24,128,10,1031
exact_match,10pct_e8,2,27,128,5,509
exact_match,10pct_e8,2,28,128,6,624
exact_match,10pct_e8,2,29,128,5,553
exact_match,10pct_e8,2,38,128,4,433
exact_match,10pct_e8,2,39,128,4,466
exact_match,10pct_e8,2,40,128,6,663
exact_match,10pct_e8,2,45,128,3,410
exact_match,10pct_e8,2,46,128,6,675
exact_match,10pct_e8,2,56,128,6,689
exact_match,10pct_e8,2,58,128,4,395
exact_match,10pct_e8,2,85,128,1,277
exact_match,10pct_e8,2,87,128,3,338
exact_match,10pct_e8,2,93,128,3,386
exact_match,10pct_e8,2,150,128,3,352
exact_match,10pct_e8,3,0,128,4,411
exact_match,10pct_e8,3,1,128,5,404
exact_match,10pct_e8,3,6,128,4,253
exact_match,10pct_e8,3,61,128,1,225
exact_match,10pct_e8,3,62,128,5,442
exact_match,10pct_e8,3,74,128,1,259
exact_match,10pct_e8,3,90,128,3,537
exact_match,10pct_e8,3,145,128,3,325
exact_match,10pct_e8,3,153,128,10,808
exact_match,10pct_e8,3,165,128,5,477
exact_match,10pct_e8,3,199,128,4,414
exact_match,10pct_e8,3,221,128,2,204
exact_match,10pct_e8,3,250,128,3,338
exact_match,10pct_e8,3,297,128,6,604
exact_match,10pct_e8,3,306,128,1,244
exact_match,10pct_e8,3,314,128,4,451
exact_match,10pct_e8,3,372,128,1,109
exact_match,10pct_e8,3,374,128,1,337
exact_match,10pct_e8,3,376,128,3,249
exact_match,10pct_e8,3,433,128,3,352
exact_match,10pct_e8,3,508,128,3,403
exact_match,10pct_e8,3,566,128,7,598
exact_match,10pct_e8,3,568,128,2,370
exact_match,10pct_e8,4,0,128,7,606
exact_match,10pct_e8,4,1,128,7,747
exact_match,10pct_e8,4,3,128,4,501
exact_match,10pct_e8,4,4,128,5,501
exact_match,10pct_e8,4,5,128,7,659
exact_match,10pct_e8,4,6,128,9,951
exact_match,10pct_e8,4,8,128,2,350
exact_match,10pct_e8,4,9,128,11,1055
exact_match,10pct_e8,4,10,128,5,466
exact_match,10pct_e8,4,11,128,6,517
exact_match,10pct_e8,4,20,128,12,986
exact_match,10pct_e8,4,23,128,4,512
exact_match,10pct_e8,4,27,128,4,372
exact_match,10pct_e8,4,28,128,4,506
exact_match,10pct_e8,4,34,128,1,226
exact_match,10pct_e8,4,53,128,4,433
exact_match,10pct_e8,4,61,128,3,340
exact_match,10pct_e8,4,86,128,11,1025
exact_match,10pct_e8,5,0,128,5,485
exact_match,10pct_e8,5,1,128,9,718
exact_match,10pct_e8,5,2,128,8,727
exact_match,10pct_e8,5,3,128,11,788
exact_match,10pct_e8,5,5,128,11,986
exact_match,10pct_e8,5,6,128,5,477
exact_match,10pct_e8,5,7,128,6,439
exact_match,10pct_e8,5,8,128,5,461
exact_match,10pct_e8,5,9,128,4,548
exact_match,10pct_e8,5,13,128,7,644
exact_match,10pct_e8,5,14,128,8,796
exact_match,10pct_e8,5,18,128,3,401
exact_match,10pct_e8,5,19,128,6,480
exact_match,10pct_e8,5,24,128,7,694
exact_match,10pct_e8,5,34,128,6,505
exact_match,10pct_e8,5,38,128,4,391
exact_match,10pct_e8,5,180,128,6,616
exact_match,10pct_e8,5,196,128,6,637
exact_match,10pct_e8,6,0,128,4,348
exact_match,10pct_e8,6,1,128,9,721
exact_match,10pct_e8,6,2,128,9,757
exact_match,10pct_e8,6,4,128,7,488
exact_match,10pct_e8,6,9,128,7,583
exact_match,10pct_e8,6,10,128,6,496
exact_match,10pct_e8,6,12,128,6,501
exact_match,10pct_e8,6,18,128,3,314
exact_match,10pct_e8,6,19,128,2,284
exact_match,10pct_e8,6,21,128,4,347
exact_match,10pct_e8,6,24,128,8,584
exact_match,10pct_e8,6,30,128,7,635
exact_match,10pct_e8,6,34,128,2,280
exact_match,10pct_e8,6,36,128,8,658
exact_match,10pct_e8,6,37,128,8,731
exact_match,10pct_e8,6,62,128,1,401
exact_match,10pct_e8,6,65,128,5,484
exact_match,10pct_e8,6,70,128,7,527
exact_match,10pct_e8,6,74,128,7,579
exact_match,10pct_e8,6,83,128,4,276
exact_match,10pct_e8,6,90,128,6,555
exact_match,10pct_e8,6,91,128,2,301
exact_match,10pct_e8,6,92,128,10,834
exact_match,10pct_e8,6,107,128,4,413
exact_match,10pct_e8,6,183,128,3,402
exact_match,10pct_e8,6,195,128,13,1011
exact_match,10pct_e8,6,245,128,2,364
exact_match,10pct_e8,7,0,128,6,502
exact_match,10pct_e8,7,1,128,4,338
exact_match,10pct_e8,7,2,128,3,335
exact_match,10pct_e8,7,4,128,5,379
exact_match,10pct_e8,7,7,128,6,563
exact_match,10pct_e8,7,11,128,3,339
exact_match,10pct_e8,7,12,128,5,456
exact_match,10pct_e8,7,16,128,4,438
