suite,scenario,qid,expansion_id,dim,n_tb1_nodes,distance_ns
range_search,10pct_e1,0,0,512,11,2184
range_search,10pct_e1,0,2,512,24,4277
range_search,10pct_e1,0,11,512,49,8962
range_search,10pct_e1,0,24,512,5,965
range_search,10pct_e1,0,34,512,8,1378
range_search,10pct_e1,1,0,512,6,1299
range_search,10pct_e1,1,1,512,5,1110
range_search,10pct_e1,1,2,512,4,886
range_search,10pct_e1,1,4,512,6,1383
range_search,10pct_e1,1,6,512,12,2305
range_search,10pct_e1,1,40,512,6,1127
range_search,10pct_e1,2,0,512,13,2673
range_search,10pct_e1,2,1,512,9,1430
range_search,10pct_e1,2,4,512,12,1788
range_search,10pct_e1,2,6,512,6,1066
range_search,10pct_e1,2,9,512,5,866
range_search,10pct_e1,3,0,512,7,1300
range_search,10pct_e1,3,1,512,6,1063
range_search,10pct_e1,3,6,512,9,1675
range_search,10pct_e1,3,8,512,20,3057
range_search,10pct_e1,3,11,512,11,1994
range_search,10pct_e1,3,70,512,106,13240
range_search,10pct_e1,4,0,512,6,1389
range_search,10pct_e1,4,1,512,10,1750
range_search,10pct_e1,4,3,512,8,1300
range_search,10pct_e1,4,4,512,11,2120
range_search,10pct_e1,4,5,512,23,3718
range_search,10pct_e1,4,17,512,25,3983
range_search,10pct_e1,5,0,512,16,2439
range_search,10pct_e1,5,1,512,14,2367
range_search,10pct_e1,5,2,512,23,3873
range_search,10pct_e1,5,3,512,16,2093
range_search,10pct_e1,6,0,512,15,2677
range_search,10pct_e1,6,1,512,15,2605
range_search,10pct_e1,6,2,512,9,1576
range_search,10pct_e1,6,3,512,9,1676
range_search,10pct_e1,7,0,512,25,4212
range_search,10pct_e1,7,2,512,8,1067
range_search,10pct_e1,7,3,512,65,9991
range_search,10pct_e1,7,35,512,14,2215
range_search,10pct_e1,8,0,512,12,2001
range_search,10pct_e1,8,1,512,15,2658
range_search,10pct_e1,8,3,512,27,3942
range_search,10pct_e1,8,4,512,17,3060
range_search,10pct_e1,8,6,512,4,703
range_search,10pct_e1,8,17,512,9,1643
range_search,10pct_e1,9,0,512,14,2121
range_search,10pct_e1,9,1,512,9,1756
range_search,10pct_e1,9,2,512,20,3188
range_search,10pct_e1,9,7,512,14,2549
range_search,10pct_e1,9,15,512,10,1823
range_search,10pct_e1,10,0,512,12,2019
range_search,10pct_e1,10,1,512,4,905
range_search,10pct_e1,10,2,512,4,817
range_search,10pct_e1,10,5,512,11,1812
range_search,10pct_e1,10,15,512,8,1054
range_search,10pct_e1,10,58,512,4,586
range_search,10pct_e1,11,0,512,10,1877
