suite,scenario,qid,expansion_id,dim,n_tb1_nodes,distance_ns
exact_match,1pct_e2,0,0,128,3,260
exact_match,1pct_e2,0,1,128,6,360
exact_match,1pct_e2,0,2,128,3,213
exact_match,1pct_e2,0,4,128,5,251
exact_match,1pct_e2,0,5,128,2,167
exact_match,1pct_e2,0,7,128,2,180
exact_match,1pct_e2,0,11,128,2,219
exact_match,1pct_e2,0,12,128,2,189
exact_match,1pct_e2,0,13,128,6,378
exact_match,1pct_e2,0,16,128,5,342
exact_match,1pct_e2,0,17,128,3,217
exact_match,1pct_e2,0,18,128,19,771
exact_match,1pct_e2,0,19,128,6,396
exact_match,1pct_e2,0,21,128,9,468
exact_match,1pct_e2,0,23,128,2,280
exact_match,1pct_e2,0,24,128,10,559
exact_match,1pct_e2,0,26,128,6,268
exact_match,1pct_e2,0,32,128,5,288
exact_match,1pct_e2,0,33,128,4,447
exact_match,1pct_e2,0,39,128,3,148
exact_match,1pct_e2,0,46,128,4,195
exact_match,1pct_e2,0,50,128,4,184
exact_match,1pct_e2,1,0,128,8,762
exact_match,1pct_e2,1,1,128,5,563
exact_match,1pct_e2,1,3,128,3,401
exact_match,1pct_e2,1,4,128,6,629
exact_match,1pct_e2,1,5,128,4,483
exact_match,1pct_e2,1,6,128,6,606
exact_match,1pct_e2,1,7,128,14,1283
exact_match,1pct_e2,1,9,128,7,734
exact_match,1pct_e2,1,10,128,3,387
exact_match,1pct_e2,1,12,128,4,488
exact_match,1pct_e2,1,14,128,5,459
exact_match,1pct_e2,1,15,128,4,460
exact_match,1pct_e2,1,20,128,5,600
exact_match,1pct_e2,1,21,128,6,556
exact_match,1pct_e2,1,22,128,7,722
exact_match,1pct_e2,1,32,128,4,465
exact_match,1pct_e2,1,34,128,10,1010
exact_match,1pct_e2,1,36,128,5,447
exact_match,1pct_e2,1,40,128,6,698
exact_match,1pct_e2,1,41,128,12,965
exact_match,1pct_e2,1,46,128,13,1335
exact_match,1pct_e2,2,0,128,2,300
exact_match,1pct_e2,2,1,128,7,711
