suite,scenario,qid,expansion_id,dim,n_tb1_nodes,distance_ns
range_search,1pct_e1,0,0,512,8,1761
range_search,1pct_e1,0,1,512,10,2135
range_search,1pct_e1,0,2,512,1,197
range_search,1pct_e1,0,6,512,4,890
range_search,1pct_e1,0,32,512,10,1980
range_search,1pct_e1,1,0,512,3,729
range_search,1pct_e1,1,1,512,2,519
range_search,1pct_e1,1,2,512,3,475
range_search,1pct_e1,1,3,512,11,2136
range_search,1pct_e1,1,4,512,4,683
range_search,1pct_e1,1,8,512,3,585
range_search,1pct_e1,1,17,512,3,883
range_search,1pct_e1,1,21,512,1,368
range_search,1pct_e1,1,108,512,2,515
range_search,1pct_e1,2,0,512,6,1001
range_search,1pct_e1,2,1,512,5,1076
range_search,1pct_e1,2,2,512,17,2380
range_search,1pct_e1,2,3,512,4,717
range_search,1pct_e1,2,5,512,9,1344
range_search,1pct_e1,2,26,512,4,701
range_search,1pct_e1,2,105,512,5,980
range_search,1pct_e1,3,0,512,2,379
range_search,1pct_e1,3,1,512,1,242
range_search,1pct_e1,3,2,512,8,912
range_search,1pct_e1,3,4,512,8,1061
range_search,1pct_e1,3,5,512,10,1542
range_search,1pct_e1,3,7,512,1,455
range_search,1pct_e1,3,11,512,3,458
range_search,1pct_e1,3,38,512,8,1277
range_search,1pct_e1,4,0,512,3,580
range_search,1pct_e1,4,1,512,7,945
range_search,1pct_e1,4,2,512,11,1455
range_search,1pct_e1,4,3,512,4,721
range_search,1pct_e1,4,4,512,6,771
range_search,1pct_e1,4,8,512,3,370
range_search,1pct_e1,4,10,512,19,1969
range_search,1pct_e1,4,16,512,9,984
range_search,1pct_e1,5,0,512,6,809
range_search,1pct_e1,5,1,512,10,1122
range_search,1pct_e1,5,2,512,3,553
range_search,1pct_e1,5,3,512,6,849
range_search,1pct_e1,5,4,512,2,308
range_search,1pct_e1,5,5,512,21,2484
range_search,1pct_e1,5,6,512,14,1644
range_search,1pct_e1,5,12,512,4,528
range_search,1pct_e1,5,15,512,11,1341
range_search,1pct_e1,5,44,512,1,179
range_search,1pct_e1,6,0,512,6,1150
range_search,1pct_e1,6,1,512,5,771
range_search,1pct_e1,6,3,512,7,1014
range_search,1pct_e1,6,4,512,3,724
range_search,1pct_e1,6,5,512,3,776
range_search,1pct_e1,6,6,512,1,296
range_search,1pct_e1,6,12,512,5,523
range_search,1pct_e1,6,18,512,2,237
range_search,1pct_e1,7,0,512,14,1949
range_search,1pct_e1,7,1,512,4,1008
range_search,1pct_e1,7,2,512,19,2165
range_search,1pct_e1,7,3,512,31,3355
range_search,1pct_e1,7,4,512,18,2160
range_search,1pct_e1,7,6,512,8,905
range_search,1pct_e1,7,9,512,16,1734
range_search,1pct_e1,7,115,512,2,298
range_search,1pct_e1,8,0,512,5,713
range_search,1pct_e1,8,1,512,49,5207
range_search,1pct_e1,8,2,512,5,726
range_search,1pct_e1,8,3,512,10,1232
range_search,1pct_e1,8,5,512,4,505
range_search,1pct_e1,8,10,512,6,695
range_search,1pct_e1,8,22,512,1,189
range_search,1pct_e1,9,0,512,6,805
range_search,1pct_e1,9,1,512,4,595
range_search,1pct_e1,9,2,512,8,1019
range_search,1pct_e1,9,4,512,18,1960
range_search,1pct_e1,9,5,512,4,557
range_search,1pct_e1,9,14,512,7,825
range_search,1pct_e1,9,20,512,21,2596
range_search,1pct_e1,9,63,512,7,1096
range_search,1pct_e1,10,0,512,3,646
range_search,1pct_e1,10,2,512,10,1859
range_search,1pct_e1,10,3,512,6,740
range_search,1pct_e1,10,4,512,3,687
range_search,1pct_e1,10,6,512,2,431
range_search,1pct_e1,10,11,512,3,395
range_search,1pct_e1,10,13,512,1,232
range_search,1pct_e1,10,19,512,2,406
range_search,1pct_e1,10,111,512,1,138
range_search,1pct_e1,11,0,512,4,601
range_search,1pct_e1,11,1,512,6,852
range_search,1pct_e1,11,2,512,3,450
range_search,1pct_e1,11,3,512,4,573
range_search,1pct_e1,11,4,512,4,577
range_search,1pct_e1,11,5,512,13,1558
range_search,1pct_e1,11,6,512,7,956
range_search,1pct_e1,11,7,512,4,590
range_search,1pct_e1,11,8,512,2,352
range_search,1pct_e1,11,15,512,8,919
range_search,1pct_e1,11,16,512,2,324
range_search,1pct_e1,11,30,512,2,502
range_search,1pct_e1,12,0,512,4,553
range_search,1pct_e1,12,1,512,4,476
range_search,1pct_e1,12,2,512,7,854
range_search,1pct_e1,12,3,512,8,958
range_search,1pct_e1,12,25,512,2,301
range_search,1pct_e1,12,41,512,4,530
range_search,1pct_e1,12,94,512,7,887
range_search,1pct_e1,13,0,512,3,527
range_search,1pct_e1,13,1,512,2,341
range_search,1pct_e1,13,2,512,3,587
