dim,engine_count,chunk_size_bytes,n_nodes,iaa_submit_ns_median,iaa_wait_ns_median,iaa_check_ns_median,lz4_decompress_ns_median
2048,2,1048576,8,6503,4137336,4137319,1595045
2048,2,1048576,16,12198,8272150,8271882,3266499
2048,2,1048576,32,23710,16541287,16541109,6504041
2048,2,1048576,64,46626,33079762,33080277,13106720
128,4,1024,1,752,1488,1470,514
128,4,1024,2,1394,1498,1464,911
128,4,1024,4,2652,1574,1369,1707
128,4,1024,8,5125,1680,1647,3257
128,4,1024,16,10617,1708,1598,6455
128,4,1024,32,20874,1710,1634,12713
128,4,1024,64,43597,1530,1646,24933
128,4,65536,1,776,17710,17731,9367
128,4,65536,2,1411,17700,17667,15250
128,4,65536,4,2666,17702,17581,29626
128,4,65536,8,5354,32711,32708,54829
128,4,65536,16,10655,61852,61800,109259
128,4,65536,32,21609,120119,120035,216746
128,4,65536,64,44032,235409,234646,415542
128,4,1048576,1,924,263505,263463,137659
128,4,1048576,2,1810,263482,263489,249377
128,4,1048576,4,3378,263512,263479,481129
128,4,1048576,8,6291,524167,524095,970685
128,4,1048576,16,11839,1044794,1044681,1964942
128,4,1048576,32,22763,2085659,2085429,3977124
128,4,1048576,64,45097,4166817,4166182,8041396
512,4,1024,1,757,2023,1971,1294
512,4,1024,2,1414,1965,1954,2294
512,4,1024,4,2677,2006,1793,4433
512,4,1024,8,5184,2337,2283,8419
512,4,1024,16,10536,2096,2047,16003
512,4,1024,32,21444,2212,2153,29718
512,4,1024,64,44455,2099,2031,53745
512,4,65536,1,821,33248,33213,128237
512,4,65536,2,1491,32897,32893,256319
512,4,65536,4,2832,32923,32964,510606
512,4,65536,8,5630,63236,63234,1021482
512,4,65536,16,11231,122971,123111,1969071
512,4,65536,32,21851,242926,242913,3843885
512,4,65536,64,43954,481180,480791,7196808
512,4,1048576,1,1155,500857,500843,1105694
512,4,1048576,2,2327,500881,500890,2214721
512,4,1048576,4,3936,500876,500954,4426696
512,4,1048576,8,6515,998976,998981,8819473
512,4,1048576,16,12055,1994368,1994146,17552323
512,4,1048576,32,23623,3984292,3984206,34570168
512,4,1048576,64,46514,7964146,7964832,68252138
2048,4,1024,1,751,2300,2289,338
2048,4,1024,2,1402,2302,2287,478
2048,4,1024,4,2653,2294,2098,758
2048,4,1024,8,5094,2632,2582,1284
2048,4,1024,16,10486,2404,2365,2582
2048,4,1024,32,21158,2486,2396,4963
2048,4,1024,64,44253,2466,2330,8945
2048,4,65536,1,817,65975,65959,12302
2048,4,65536,2,1482,66018,66002,21105
2048,4,65536,4,2785,66017,65993,38449
2048,4,65536,8,5661,129116,129135,73622
